"callsign","manualRank","pilotRank","atcRank","flightTime","controlTime","operationCount","joinDate","pirepCount","operationReportCount"
"002WY",false,"pilot","N/A","261h 12m","0h 0m",0,"Thu, 23 Oct 2025 17:22:09 GMT",13,0 
"004WY",false,"pilot","N/A","338h 23m","0h 0m",0,"Fri, 24 Oct 2025 15:48:03 GMT",4,0 
"008WY",false,"pilot","N/A","22h 8m","0h 0m",0,"Fri, 24 Oct 2025 16:15:11 GMT",2,0 <-
"015WY",false,"pilot ","N/A","92h 38m","0h 0m",0,"Thu, 06 Nov 2025 20:50:37 GMT",11,0 <-
"006WY",false,"pilot","N/A","721h 27m","0h 0m",0,"Sun, 16 Nov 2025 13:45:59 GMT",68,0 <-
"011WY",false,"pilot","N/A","247h 5m","0h 0m",0,"Sun, 07 Dec 2025 00:16:14 GMT",16,0 <-
"010WY",false,"pilot","N/A","0h 0m","0h 0m",0,"Thu, 08 Jan 2026 07:57:49 GMT",0,0 <-
"014WY",false,"pilot","N/A","0h 0m","0h 0m",0,"Sat, 24 Jan 2026 08:19:35 GMT",0,0 <-
